Acero		
Tiempo	Fuerza	Desplazamiento
seg	N	mm
7.71	2747.297	0.6397604
7.72	2746.296	0.6405938
7.73	2748.966	0.6414271
7.74	2749.348	0.64225
7.75	2749.205	0.6430729
7.76	2751.589	0.6438958
7.77	2753.448	0.6447291
7.78	2753.162	0.6455521
7.79	2755.594	0.646375
7.8	2756.357	0.6472083
7.81	2757.311	0.6480417
7.82	2759.17	0.6488854
7.83	2758.312	0.6497188
7.84	2759.743	0.6505625
7.85	2760.649	0.6513958
7.86	2761.841	0.6522188
7.87	2762.842	0.6530521
7.88	2764.273	0.6538854
7.89	2763.653	0.6547188
7.9	2763.176	0.6555417
7.91	2762.794	0.6563854
7.92	2763.653	0.6572292
7.93	2766.991	0.6580729
7.94	2768.707	0.6589167
7.95	2769.47	0.6597708
7.96	2772.188	0.6606042
7.97	2772.522	0.6614375
7.98	2774.477	0.6622708
7.99	2775.717	0.6630833
8	2776.384	0.6639062
8.01	2775.478	0.6647395
8.02	2775.383	0.6655625
8.03	2775.907	0.6663854
8.04	2776.432	0.6672083
8.05	2777.052	0.6680312
8.06	2778.482	0.668875
8.07	2778.959	0.6697187
8.08	2779.007	0.6705625
8.09	2781.01	0.6713958
8.1	2781.868	0.6722187
8.11	2782.917	0.6730416
8.12	2783.584	0.673875
8.13	2783.346	0.6746979
8.14	2784.538	0.6755313
8.15	2786.35	0.6763646
8.16	2786.446	0.6772083
8.17	2787.352	0.6780521
8.18	2787.495	0.6788958
8.19	2789.45	0.6797396
8.2	2791.452	0.6805833
8.21	2791.739	0.6814271
8.22	2792.358	0.6822604
8.23	2791.595	0.6830834
8.24	2793.932	0.6839063
8.25	2794.457	0.6847292
8.26	2796.602	0.6855625
8.27	2796.221	0.6863854
8.28	2795.172	0.6872084
8.29	2796.984	0.6880313
8.3	2798.939	0.6888646
8.31	2798.605	0.6896979
8.32	2800.131	0.6905417
8.33	2802.038	0.6913854
8.34	2800.465	0.6922187
8.35	2800.941	0.6930521
8.36	2804.756	0.6938854
8.37	2803.183	0.6947187
8.38	2803.278	0.6955417
8.39	2803.755	0.696375
8.4	2807.808	0.6972083
8.41	2808.237	0.698052
8.42	2805.471	0.6988854
8.43	2806.521	0.6997291
8.44	2809.524	0.7005729
8.45	2810.669	0.7014167
8.46	2811.432	0.7022604
8.47	2812.242	0.7030938
8.48	2811.003	0.7039167
8.49	2810.288	0.7047396
8.5	2810.86	0.7055625
8.51	2812.481	0.7063854
8.52	2814.245	0.7072083
8.53	2816.534	0.7080417
8.54	2818.251	0.7088646
8.55	2816.916	0.7096875
8.56	2817.297	0.7105312
8.57	2816.868	0.711375
8.58	2819.872	0.7122083
8.59	2820.158	0.7130521
8.6	2819.634	0.713875
8.61	2820.301	0.7147083
8.62	2822.113	0.7155417
8.63	2823.4	0.7163646
8.64	2823.925	0.7172083
8.65	2823.639	0.7180417
8.66	2822.924	0.718875
8.67	2823.353	0.7197083
8.68	2823.448	0.7205521
8.69	2824.736	0.7214062
8.7	2825.069	0.72225
8.71	2827.024	0.7230937
8.72	2828.884	0.7239375
8.73	2828.36	0.7247604
8.74	2828.884	0.7255729
8.75	2830.696	0.7263958
8.76	2829.742	0.7272187
8.77	2830.505	0.7280416
8.78	2830.029	0.7288646
8.79	2831.698	0.7296875
8.8	2830.982	0.7305208
8.81	2831.554	0.7313645
8.82	2831.602	0.7321979
8.83	2833.414	0.7330416
8.84	2835.464	0.7338854
8.85	2836.18	0.7347187
8.86	2836.275	0.7355416
8.87	2836.895	0.736375
8.88	2838.039	0.7372083
8.89	2839.613	0.7380416
8.9	2838.516	0.738875
8.91	2837.229	0.7397083
8.92	2842.14	0.7405521
8.93	2842.665	0.7413958
8.94	2841.282	0.7422396
8.95	2841.473	0.7430833
8.96	2843.046	0.7439271
8.97	2846.098	0.74475
8.98	2844.954	0.7455937
8.99	2842.951	0.7464167
9	2845.001	0.7472292
9.01	2844.143	0.7480521
9.02	2846.098	0.7488854
9.03	2846.146	0.7497084
9.04	2844.667	0.7505313
9.05	2847.004	0.7513646
9.06	2846.67	0.7522084
9.07	2846.766	0.7530417
9.08	2847.814	0.7538854
9.09	2848.435	0.7547292
9.1	2847.29	0.7555521
9.11	2849.626	0.756375
9.12	2853.06	0.7572083
9.13	2852.774	0.7580417
9.14	2851.486	0.758875
9.15	2852.821	0.7597083
9.16	2855.492	0.760552
9.17	2855.396	0.7613854
9.18	2855.015	0.7622291
9.19	2854.586	0.7630729
9.2	2858.019	0.7639271
9.21	2856.207	0.7647604
9.22	2855.492	0.7656041
9.23	2857.351	0.7664271
9.24	2859.163	0.76725
9.25	2859.593	0.7680729
9.26	2859.688	0.7688958
9.27	2860.355	0.7697188
9.28	2860.069	0.7705417
